Claim Number,Restaurant Name,Borough Code,Address1,ZIPCODE,GRADE
50089369,ESTRELLA LATINA RESTAURANT,Queens,104TH ST,11368,B
50013250,DUNKIN DONUTS,Bronx,EAST TREMONT AVENUE,10460,A
50081236,LA CABANITA RESTAURANT,Brooklyn,20 AVENUE,11204,A
41054662,STARBUCKS,Manhattan,PARK AVENUE,10016,A
40951901,STARBUCKS,Manhattan,PINE STREET,10005,A
50096569,CASA NOMAD,Manhattan,BROADWAY,10001,A
50058390,LOS ALMUERZOS,Queens,JAMAICA AVE,11435,B
50062365,H-YARD GOURMET DELI,Manhattan,9 AVENUE,10018,A
50018356,BRICKTOWN BAGELS & CAFE,Queens,VERNON BLVD,11101,B
41706222,PATA PA-PLEAN,Queens,WOODSIDE AVENUE,11373,A
50006379,BETTER GOURMET HEALTH KITCHEN,Staten Island,FOREST AVENUE,10301,B
41250691,SUBWAY,Manhattan,2 AVENUE,10010,A
40793858,DANCING CRANE CAFE (BX ZOO),Bronx,SOUTHERN BOULEVARD,10460,A
50086726,LA CASA DE JULIA,Queens,ROOSEVELT AVE,11377,A
50065822,SEIS VECINOS RESTAURANT,Bronx,PROSPECT AVENUE,10455,B
50068173,DON'S BOGAM BLACK,Manhattan,5 AVENUE,10001,B
50103204,WHIPPED URBAN DESSERT LAB,Manhattan,ORCHARD STREET,10002,N
50103462,KORILLA,Brooklyn,METROTECH CTR,11201,A
50085445,ECOWAS KITCHEN (AMALA JUNCTION),Brooklyn,BELMONT AVENUE,11208,A
50036670,NEUEHOUSE,Manhattan,EAST   25 STREET,10010,B
41402681,FOUR SEASONS BAKERY,Brooklyn,CHURCH AVENUE,11226,A
41230437,THE CROOKED KNIFE,Manhattan,EAST 30 STREET,10016,A
50075900,A & A BAKE AND DOUBLE SHOP,Brooklyn,FULTON ST,11216,B
50012160,EL SABOR DEL AUSTRO RESTAURANT,Queens,SENECA AVENUE,11385,A
41198338,ROYALE,Manhattan,AVENUE C,10009,A
41662314,JUSTINO'S PIZZERIA,Staten Island,GUYON AVENUE,10306,A
