Airbnb_id,Host_id,Borough Code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
49010997,5615582,1,40.75124,-73.98598,Private room,1585,1,1,15,306
45605511,224210149,1,40.74335,-73.97281,Entire home/apt,1575,3,0,1,364
8515213,44837740,1,40.75451,-73.98897,Entire home/apt,1571,1,4,2,365
50545189,406790259,1,40.75746,-73.9935,Private room,1567,3,1,39,321
50415612,406790259,1,40.75545,-73.99512,Private room,1565,3,3,39,342
50416063,406790259,1,40.75758,-73.99349,Private room,1565,3,1,39,348
22296097,3750764,1,40.75109,-74.00332,Private room,1557,1,0,1,363
50195332,57655724,1,40.77993,-73.98098,Entire home/apt,1557,3,2,2,15
2250372,11490872,1,40.74202,-73.97977,Entire home/apt,1550,30,0,1,0
27278924,136273956,1,40.72932,-73.99989,Private room,1550,30,0,1,0
42784564,237947876,3,40.66296,-73.93161,Entire home/apt,1550,30,0,1,179
50912283,17775359,1,40.73312,-74.00027,Entire home/apt,1542,3,4,3,72
50416252,406790259,1,40.75738,-73.9936,Private room,1540,3,1,39,330
50439745,406790259,1,40.75749,-73.99349,Private room,1540,3,0,39,317
50440111,406790259,1,40.75604,-73.99354,Private room,1540,3,1,39,323
35637155,9155963,1,40.7289,-73.98078,Entire home/apt,1529,1,5,1,178
46413614,375310869,3,40.7314,-73.95475,Entire home/apt,1523,30,1,37,245
1989838,3185905,1,40.7646,-73.9814,Entire home/apt,1500,30,0,1,0
2186452,10636508,1,40.71725,-74.00528,Entire home/apt,1500,30,0,1,0
2217398,11312158,1,40.7416,-73.97822,Entire home/apt,1500,30,0,1,0
2243769,11460768,1,40.80187,-73.96054,Entire home/apt,1500,30,0,1,0
4586448,8503180,1,40.73143,-73.98862,Entire home/apt,1500,30,24,2,276
5526210,8278521,1,40.71911,-74.01088,Entire home/apt,1500,30,64,1,241
13954583,37435755,3,40.70109,-73.9193,Private room,1500,10,12,2,65
14522632,37435755,3,40.70271,-73.91761,Private room,1500,30,28,2,32
19261720,6988611,4,40.58831,-73.79237,Entire home/apt,1500,14,1,1,354
22436770,114131821,1,40.76262,-74.0003,Entire home/apt,1500,30,0,1,0
23370484,11844979,3,40.71668,-73.96164,Entire home/apt,1500,1,1,3,101
29542012,29387678,1,40.72192,-73.98549,Private room,1500,30,0,1,365
31120563,9786357,3,40.68083,-73.97,Entire home/apt,1500,31,19,1,0
32037930,8503180,1,40.73079,-73.98687,Entire home/apt,1500,30,0,2,178
35109246,88988332,3,40.68933,-73.99572,Private room,1500,30,0,1,179
39873694,244874988,1,40.80204,-73.96538,Entire home/apt,1500,30,6,1,179
