hotel_id,name,city,postal_code,latitude,longitude,star_rating,high_rate,low_rate,address_id
332763,World Center Hotel,New York,10006,40.70947,-74.01394,4,409.23,219.19,965
126913,Wyndham New Yorker,New York,10001,40.75253,-73.99322,4,319.07,139.03,966
126106,The Kitano New York,New York,10016,40.74962,-73.97962,4.5,539.0279,269.014,967
109362,Omni Berkshire Place,New York,10022,40.75927,-73.97502,4.5,1000.21,1000,968
134388,Row NYC,New York,10036,40.75905,-73.98844,4,299.04,159.021,969
6295,The Manhattan at Times Square Hotel,New York,10019,40.76205,-73.98259,4,260.15,180.13,970
234777,Residence Inn by Marriott New York Manhattan/Times Square,New York,10018,40.75273,-73.98566,3.5,649.27,273.14,971
112522,Wellington Hotel,New York,10019,40.76446,-73.98082,3,411.021,179.0094,972
163820,Hotel Sofitel New York,New York,10036,40.75561,-73.9819,4.5,1036.1801,223.2,973
249659,Hilton Garden Inn Tribeca,New York,10013,40.72108,-74.00534,3.5,369.02,211.66,974
336187,Hilton New York Fashion District,New York,10001,40.74572,-73.99364,4,189.79,129.79,975
237052,The Marmara Manhattan,New York,10128,40.78285,-73.94776,3.5,403.9642,285.1102,976
163728,Ameritania at Times Square,New York,10019,40.76415,-73.9828,3.5,419.0622,289.0416,977
219433,Stewart Hotel,New York,10001,40.74892,-73.99218,4,334,249,978
148866,Crowne Plaza Times Square Manhattan,New York,10019,40.76025,-73.98478,4,459.16,243.12,979
367406,The Gotham Hotel,New York,10017,40.75566,-73.97814,4.5,679,221,980
390179,TRYP By Wyndham Times Square South,New York,10001,40.75359,-73.99473,4.5,399.21,269,981
114036,Novotel New York - Times Square,New York,10019,40.76288,-73.98363,4,218.9156,158.934,982
163758,Amsterdam Court Hotel,New York,10019,40.76184,-73.98505,3,300,299,983
153584,La Quinta Inn & Suites New York City Central Park,New York,10023,40.7761,-73.97777,2.5,199.24,169.2,984
312110,"Marriott Vacation Club Pulse, New York City",New York,10018,40.75111,-73.985,4,454.05,175.03,12
349751,Andaz 5th Avenue - a concept by Hyatt,New York,10017,40.75287,-73.98134,4.5,845.06,345,985
292875,Night Hotel Times Square,New York,10036,40.75898,-73.98405,4,379,239,986
253420,Hilton Garden Inn New York/Manhattan-Chelsea,New York,10001,40.74648,-73.99158,3.5,224.0587,143.7464,987
430306,Best Western Premier Herald Square,New York,10018,40.75053,-73.98556,3,440.0534,225.2745,988
263234,Holiday Inn Express - New York City Chelsea,New York,10001,40.74853,-73.9945,3,214.39,176.39,989
163796,DoubleTree by Hilton Metropolitan - New York City,New York,10022,40.75695,-73.97208,4,199.32,159.32,990
200316,Gardens NYC-an Affinia hotel,New York,10065,40.76424,-73.96326,3.5,369.44,232.44,991
197539,The Wall Street Inn,New York,10004,40.70466,-74.01046,3,245.0515,164.9857,992
128996,Millenium Hilton,New York,10007,40.71124,-74.01068,4,199.45,169.45,993
200065,Le Parker Meridien New York,New York,10019,40.76409,-73.97873,4.5,479.42,239.42,994
311346,Holiday Inn Express New York City- Wall Street,New York,10005,40.70544,-74.00712,3,140.0073,139.0073,995
407095,Wyndham Garden Chinatown,New York,10002,40.71695,-73.99562,4,309.48,242.48,996
142043,Hotel Pennsylvania,New York,10001,40.74996,-73.99137,2.5,469,169,997
109227,The Evelyn Hotel,New York,10016,40.74381,-73.98713,3.5,329.0455,169.0299,998
150387,Millennium Broadway New York Times Square,New York,10036,40.75689,-73.9849,4,339.0544,289.0416,999
272526,Hampton Inn New York - 35th Street - Empire State Building,New York,10001,40.75013,-73.98651,3,339.33,299.33,1000
353129,The James New York,New York,10013,40.72284,-74.00471,4.5,595,295,1001
352529,Cassa Hotel 45th Street,New York,10036,40.75647,-73.98212,4,891.6393,609.0939,1002
430580,"Club Quarters Hotel, Grand Central",New York,10017,40.75325,-73.97441,4,289.41,169.41,1003
361485,The Jewel facing Rockefeller Center,New York,10017,40.75958,-73.9778,4,439,219,81
117112,Hotel Edison,New York,10036,40.7598,-73.98603,3,909,379,1004
122563,The Lombardy,New York,10022,40.76066,-73.97058,4,409.33,309.33,1005
316461,Dream Midtown,New York,10019,40.76458,-73.98183,4,669.27,319,1006
258349,Comfort Inn Times Square South Area,New York,10018,40.75555,-73.99174,3,269.44,249.44,1007
355972,Courtyard by Marriott New York Manhattan/SoHo,New York,10014,40.72752,-74.0055,3.5,529.02,239.01,1008
125509,Loews Regency New York Hotel,New York,10065,40.76446,-73.96885,5,999.4,479.4,1009
266211,Holiday Inn Manhattan 6th Ave - Chelsea,New York,10001,40.74522,-73.99244,3.5,209.35,162.35,1010
263989,Holiday Inn Express New York City Fifth Avenue,New York,10036,40.75577,-73.98031,3,419.04,189.02,1011
422002,Holiday Inn Express Manhattan Times Square South,New York,10018,40.75108,-73.98685,3,369,135.16,1012
106930,Hilton Garden Inn Times Square,New York,10019,40.76112,-73.98695,3.5,414.0578,293.5276,1013
105816,Sheraton New York Times Square Hotel,New York,10019,40.76264,-73.98213,4,663.32,464.32,1014
114221,Residence Inn by Marriott New York Manhattan/Midtown East,New York,10017,40.75512,-73.97292,3.5,484.09,195.06,1015
109318,Lotte New York Palace,New York,10022,40.75823,-73.97453,4.5,1195.41,349.41,1016
241086,"Club Quarters Hotel, opposite Rockefeller Center",New York,10019,40.75982,-73.97835,4,329.19,279,1017
383834,Dream Downtown,New York,10011,40.74195,-74.00369,4.5,5000.3501,299.36,1018
106069,Grand Hyatt New York,New York,10017,40.75167,-73.97659,4,1129,375.66,1019
109730,"The Lexington New York City, Autograph Collection",New York,10017,40.75508,-73.97338,4,160.0316,159.0316,1020
112923,Waldorf Astoria New York,New York,10022,40.75658,-73.97432,4.5,280.4,210.4,1021
325735,Trump Soho New York,New York,10013,40.72563,-74.00558,5,1905.3199,345.32,4
135149,The Roger,New York,10016,40.74584,-73.98435,4,580.28,199.16,1022
428011,SpringHill Suites by Marriott New York Midtown Manhattan,New York,10018,40.75101,-73.98472,3.5,458.02,206.01,1023
426344,Hampton Inn Manhattan/United Nations,New York,10017,40.75074,-73.97233,3,329.26,179.69,1024
424524,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,New York,10001,40.75208,-73.99527,3,679.03,189.02,1025
163777,Hilton Times Square,New York,10036,40.75679,-73.98874,4,409.06,289.83,1026
309093,Fairfield Inn by Marriott New York Manhattan/Times Square,New York,10018,40.75665,-73.99238,3,459.03,197.02,1027
427937,Courtyard by Marriott New York Manhattan/Herald Square,New York,10001,40.75037,-73.98708,3.5,339.04,309.04,1028
143951,Bentley Hotel,New York,10065,40.76055,-73.95833,4,419.4,319.4,1029
124700,Courtyard by Marriott New York City Manhattan Fifth Avenue,New York,10016,40.75199,-73.98132,3.5,304.02,269.02,1030
124094,The Shoreham Hotel,New York,10019,40.76234,-73.97652,4,280.47,174.47,1031
409752,Soho Garden Hotel,New York,10013,40.71918,-74.00165,2.5,300.4602,160.7015,1032
207138,Hampton Inn New York Chelsea,New York,10011,40.74383,-73.99297,3,389.0567,339.0544,1033
270634,Candlewood Suites New York City-Times Square,New York,10018,40.75615,-73.99311,3,319.15,237.15,1034
244448,Wingate by Wyndham Manhattan Midtown,New York,10001,40.75217,-73.99139,3,329.39,237.39,1035
441795,United Nations Apartment Hotel,New York,10017,40.75152,-73.97037,2.5,400,399,1036
106038,ONE UN New York,New York,10017,40.75051,-73.96978,4,959.2,290.19,1037
423782,Hampton Inn Manhattan/Downtown-Financial District,New York,10004,40.7032,-74.01247,3,439.24,208.17,1038
272124,Holiday Inn New York City - Wall Street,New York,10038,40.70888,-74.00908,3.5,204.0099,169.0088,1039
134540,Pod 51,New York,10022,40.75589,-73.96899,3,275.41,150.41,1040
139959,Washington Jefferson Hotel,New York,10019,40.76345,-73.98687,3.5,279.46,259.46,1041
143863,The Time New York,New York,10019,40.76112,-73.98529,4,299.45,159.45,1042
163766,Belnord Hotel,New York,10024,40.78872,-73.97534,2.5,151.0278,150.0278,1043
440402,Courtyard by Marriott New York Manhattan / Chelsea,New York,10001,40.74803,-73.9914,3.5,339.01,179.01,1044
140878,The Moderne,New York,10019,40.76508,-73.98301,3.5,429.03,259.01,1045
140893,The Belvedere Hotel,New York,10036,40.76153,-73.98816,3.5,513.8045,358.8563,1046
469458,Gansevoort Park Avenue NYC,New York,10016,40.74386,-73.98377,4.5,710.23,275.17,1047
270602,Holiday Inn Express New York City Times Square,New York,10018,40.75619,-73.99322,3,306.0163,248.0131,1048
462387,West Side YMCA,New York,10023,40.77081,-73.98074,2,162.65,121.35,1049
116175,The Gregory,New York,10001,40.74988,-73.98597,4,304.35,259.35,1050
196593,Park South Hotel,New York,10016,40.74288,-73.98305,4,408.4091,308.9944,1051
171177,The Kimpton Muse Hotel,New York,10036,40.75798,-73.98362,4.5,579.46,278.46,1052
174153,Dylan Hotel NYC,New York,10017,40.75193,-73.97926,4,454,274.55,1053
341910,W New York - Downtown,New York,10006,40.70946,-74.01394,4.5,389.19,179.45,1054
374895,Hotel 48LEX New York,New York,10017,40.75525,-73.9732,4.5,1539.38,339.06,1055
413222,Comfort Inn Midtown West,New York,10036,40.7643,-73.99477,2.5,249.24,229.24,1056
266936,Hotel Henri by Wyndham,New York,10010,40.74309,-73.99118,4,341.1493,251.1326,1057
139910,Hotel Elysee by Library Hotel Collection,New York,10022,40.76006,-73.97301,4,609.37,429.37,1058
126897,W New York,New York,10022,40.75615,-73.97266,4,404.3,149.3,1059
260426,Duane Street Hotel Tribeca,New York,10013,40.71604,-74.00731,4,649.22,259.08,1060
139938,Casablanca Hotel by Library Hotel Collection,New York,10036,40.7563,-73.98553,4,360.6726,310.3097,1061
140899,Americana Inn,New York,10018,40.75215,-73.98557,2,119.45,114.45,1062
125511,Warwick New York,New York,10019,40.76226,-73.97826,4.5,339.05,269.04,1063
274141,Kimpton Ink48 Hotel,New York,10036,40.76445,-73.99569,4.5,639.15,440.15,1064
273466,Hampton Inn Manhattan/Times Square South,New York,10018,40.75611,-73.993,3,329.05,199.06,1065
122074,"Carlton Hotel, Autograph Collection",New York,10016,40.74437,-73.98548,4,359.38,159.38,1066
111484,Salisbury Hotel,New York,10019,40.76484,-73.9784,3,557,254,1067
276597,"GEM Hotel - Chelsea, an Ascend Hotel Collection Member",New York,10011,40.74466,-73.99907,3,379,199,1068
135539,The Marcel at Gramercy,New York,10010,40.73936,-73.98234,4,519.22,309.04,1069
278721,Hilton Garden Inn New York/West 35th Street,New York,10001,40.75022,-73.98672,3,449.0678,263.2364,1070
126898,Iberostar 70 Park Avenue,New York,10016,40.7498,-73.9795,4,838.672,314.1253,1071
364443,Hyatt Herald Square New York,New York,10001,40.74716,-73.98749,4,429.39,319.39,1072
192357,"Club Quarters Hotel, Wall Street",New York,10005,40.70686,-74.00907,4,399.1278,259.0887,1073
122350,Washington Square Hotel,New York,10011,40.73226,-73.99867,3.5,320.4,282.8945,1074
229528,Renaissance New York Hotel 57,New York,10022,40.76103,-73.96951,4,449.37,259.37,1075
251284,36 Hudson Hotel,New York,10018,40.75564,-73.99765,3,179,109.6097,1076
135096,"The Algonquin Hotel Times Square, Autograph Collection",New York,10036,40.75584,-73.98244,4,529.35,299.35,1077
170510,The Library Hotel by Library Hotel Collection,New York,10017,40.75219,-73.97973,4,539.0872,399.0207,1078
422103,Holiday Inn Express New York - Manhattan West Side,New York,10036,40.76417,-73.99447,3,349.21,212.17,1079
197409,Hotel 31,New York,10016,40.74473,-73.98165,2,259.02,80.1,1080
163765,Hotel Belleclaire,New York,10024,40.78264,-73.98122,3.5,479.05,242.4,1081
198706,City Club Hotel,New York,10036,40.75577,-73.98229,4,289.44,189.44,1082
462386,Vanderbilt YMCA,New York,10017,40.75344,-73.97097,2,195.1605,154.1267,1083
144002,The Manhattan Club,New York,10019,40.76502,-73.98097,4,500.46,309,1084
219391,The Benjamin,New York,10022,40.75638,-73.97209,4.5,449.49,353.12,1085
332637,"Club Quarters Hotel, World Trade Center",New York,10006,40.70947,-74.01394,4,290.47,289.47,1086
143688,Fitzpatrick Manhattan Hotel,New York,10022,40.76072,-73.9693,4,290.49,289.49,1087
106394,JW Marriott Essex House New York,New York,10019,40.76652,-73.97825,4.5,1499.02,314.02,1088
117363,The London NYC,New York,10019,40.76328,-73.98065,4.5,2579.1799,299.06,1089
125636,NH New York Jolly Madison Towers,New York,10016,40.75014,-73.98082,3.5,400.0495,363.0399,1090
217106,The Milburn Hotel,New York,10023,40.78204,-73.98173,3,259.33,159.33,1091
231553,"The Pierre, A Taj Hotel, New York",New York,10065,40.76534,-73.97222,5,1075.46,489.46,1092
144360,Fitzpatrick Grand Central,New York,10017,40.75248,-73.97446,4,229.43,228.43,1093
297426,New York Inn,New York,10036,40.76024,-73.98761,2.5,118.5477,117.5477,1094
192073,The Bryant Park Hotel,New York,10018,40.75296,-73.98368,4,775.1191,245.0384,1095
169343,Conrad New York,New York,10282,40.71505,-74.01601,5,461.0829,269.0617,1096
375716,The SunBright,New York,10013,40.7174,-73.99585,1,174,162,1097
425346,Bowery Grand Hotel,New York,10002,40.71901,-73.99454,1,48.01,45.01,1098
120829,Royalton Times Square,New York,10036,40.75571,-73.98216,4.5,349.0528,219.0322,1099
172820,Broadway Plaza Hotel,New York,10001,40.74441,-73.98891,3.5,279.4,239.4,1100
125910,Off Soho Suites Hotel,New York,10002,40.72133,-73.99266,2,359.17,159.15,1101
189272,Hotel 17,New York,10003,40.73473,-73.98467,2,169.17,115.16,1102
244926,Hotel Mela Times Square,New York,10036,40.75656,-73.98419,4,269.25,169.09,1103
126895,The Court - A St Giles Hotel,New York,10016,40.74967,-73.97776,4,299.04,199.0249,1104
308872,The Jane Hotel,New York,10014,40.73818,-74.00969,2,275,122.6779,1105
179766,The Roger Smith Hotel,New York,10017,40.75477,-73.97364,3,339.11,189.61,1106
223558,Hampton Inn Madison Square Garden Area Hotel,New York,10001,40.74826,-73.99003,3,349.18,233.16,1107
140901,Hotel Newton,New York,10025,40.79369,-73.97239,3,209.09,159.08,1108
197983,Hotel Chandler,New York,10016,40.74617,-73.98508,4.5,519.1,269.1,1109
152238,Mayfair New York,New York,10019,40.76135,-73.98583,3,189.23,149.11,1110
121375,Hotel Wales,New York,10128,40.78501,-73.9558,3.5,369.39,309.61,1111
138167,Courtyard by Marriott New York City Manhattan Midtown East,New York,10022,40.75748,-73.96959,3.5,349.42,329.42,1112
203420,The Sohotel,New York,10013,40.71956,-73.99449,3,419.4,257.4,1113
128770,Hilton Manhattan East,New York,10017,40.74963,-73.97179,4,459.17,359,1114
225633,Hotel On Rivington,New York,10002,40.71993,-73.98799,4,420.35,277.01,1115
322838,Comfort Inn Times Square West,New York,10036,40.75938,-73.99083,2.5,309.2544,129.1062,1116
150406,Days Hotel Broadway,New York,10025,40.79318,-73.97229,2.5,253.5589,160.2731,1117
269032,The Hotel 91,New York,10002,40.71372,-73.99365,3,206.14,177.78,1118
131561,Skyline Hotel,New York,10019,40.76425,-73.9921,3,438.8276,268.8961,1119
267335,Best Western Bowery Hanbee Hotel,New York,10013,40.7186,-73.99526,3,309.1,203.32,1120
339551,Courtyard by Marriott New York Manhattan/Times Square,New York,10018,40.75391,-73.98598,3.5,512.04,169.03,1121
124520,New York Marriott Downtown,New York,10006,40.70977,-74.01474,4,569.03,244.01,1122
200512,Gatsby Hotel � an Ascend Hotel Collection Member,New York,10002,40.72334,-73.99028,3,229.48,219.48,1123
130744,The Michelangelo Hotel,New York,10019,40.76165,-73.98265,4.5,629.34,379.34,1124
125480,Eurostars Wall Street,New York,10005,40.70523,-74.00638,4,260.19,230.17,1125
219432,Fifty NYC-an Affinia hotel,New York,10022,40.75594,-73.97108,4,519.03,179.56,1126
235899,Courtyard by Marriott New York Manhattan/Upper East Side,New York,10128,40.78039,-73.94588,3.5,309.0383,229.0411,1127
129023,"The Carlyle, A Rosewood Hotel",New York,10021,40.77461,-73.96338,5,4100.04,730.03,1128
203621,Magnuson Convention Center Hotel,New York,10018,40.75761,-73.99852,3,250.35,220.35,1129
206674,Hotel Metro,New York,10001,40.74995,-73.98611,3,469.3,359.3,1130
218485,Four Points by Sheraton Manhattan - Chelsea,New York,10001,40.7451,-73.99412,3,839.07,374.78,1131
215798,Wyndham Midtown 45 at New York City,New York,10017,40.75252,-73.97258,3,259.21,233.21,1132
144414,Avalon Hotel,New York,10016,40.74673,-73.98448,4,489.22,224.44,1133
120257,Clarion Hotel Park Avenue,New York,10016,40.74417,-73.98338,2.5,229.0305,219,1134
125871,San Carlos Hotel,New York,10022,40.75607,-73.97134,4.5,389.76,309.41,1135
114697,Gramercy Park Hotel,New York,10010,40.73848,-73.9855,5,529,329,1136
152696,"Gild Hall, A Thompson Hotel",New York,10038,40.70795,-74.00711,4.5,558.6078,408.561,1137
174141,W New York - Union Square,New York,10003,40.73653,-73.98899,4.5,689.8068,433.8948,1138
219368,The Surrey,New York,10021,40.77449,-73.96387,5,1945.49,595,1139
256774,Hotel 309,New York,10014,40.73984,-74.00276,2,149.11,109.12,1140
365654,Fairfield Inn & Suites by Marriott New York ManhattanChelsea,New York,10001,40.74638,-73.99134,3,248.9185,196.9329,1141
358950,Aloft Harlem,New York,10027,40.80921,-73.95184,3.5,249.0983,234.0491,1142
246640,Hotel 373 Fifth Avenue,New York,10016,40.74918,-73.98403,3,319.0166,179.0094,1143
120922,Morgans,New York,10016,40.74992,-73.98139,4,459.08,228.06,1144
170490,Hotel Giraffe by Library Hotel Collection,New York,10016,40.74214,-73.98489,4,514.4563,269.046,1145
149429,Radisson Martinique on Broadway,New York,10001,40.7482,-73.98798,3.5,450.06,245.07,1146
113922,Hotel Plaza Athenee,New York,10065,40.76642,-73.96844,5,1199.37,548.37,1147
118630,The Lowell,New York,10065,40.76587,-73.9691,5,2085.46,795.46,1148
240327,Econo Lodge Times Square,New York,10036,40.76058,-73.98789,2.5,279.04,169.02,1149
183263,Seaport Inn,New York,10038,40.70793,-74.00154,3,320.42,319.42,1150
213134,Hampton Inn Manhattan-Seaport-Financial District,New York,10038,40.70901,-74.00224,3,178.936,143.0394,1151
140911,Manhattan Broadway Budget Hotel,New York,10018,40.75454,-73.99121,2,289.36,145.43,1152
200004,the Quin,New York,10019,40.76426,-73.97707,5,860.1313,279.0433,1153
